설립연도,최종업종코드,최종업종차수,업종명,기업규모,상장등록법인,지번주소,24년 총자산,24년 부채,24년 자기자본,24년 차입금회전율,24년 부가가치율,24년 총자산회전율,23년 총자산,23년 부채,23년 자기자본,23년 차입금회전율,23년 부가가치율,23년 총자산회전율,22년 총자산,22년 부채,22년 자기자본,22년 차입금회전율,22년 부가가치율,22년 총자산회전율,21년 총자산,21년 부채,21년 자기자본,21년 차입금회전율,21년 부가가치율,21년 총자산회전율,20년 총자산,20년 부채,20년 자기자본,20년 차입금회전율,20년 부가가치율,20년 총자산회전율,3개년 매출액증가여부
2005,C24***,11,"기타 비철금속 제련, 정련 및 합금 제조업",소기업,기타,인천 남동구,40억미만,20억미만,30억미만,15.7,11.6,1.18,50억미만,20억미만,30억미만,10.1,8.77,1.01,50억미만,30억미만,30억미만,13.6,6.07,0.77,50억미만,20억미만,30억미만,12.3,,0.79,50억미만,20억미만,30억미만,6.88,8.62,1.19,부
1997,F42***,11,콘크리트 및 철근 공사업,중기업,기타,경기도 안양시,120억미만,70억미만,60억미만,6.14,27.1,0.43,130억미만,70억미만,60억미만,6.66,22.9,0.46,120억미만,60억미만,60억미만,7,23,0.48,110억미만,60억미만,60억미만,8.17,,0.39,100억미만,60억미만,40억미만,13,17.3,0.29,부
2005,G46***,11,"골재, 벽돌 및 시멘트 도매업",소기업,기타,인천 남동구,120억미만,70억미만,50억미만,2.44,3.99,0.7,100억미만,60억미만,50억미만,3.65,4.08,0.62,110억미만,60억미만,50억미만,2.96,2.77,0.68,110억미만,70억미만,50억미만,1.89,,0.94,100억미만,60억미만,40억미만,1.73,,1.13,여
2004,C28***,11,"전기회로 개폐, 보호장치 제조업",중기업,기타,경기도 성남시,180억미만,120억미만,60억미만,2.11,18.9,1.03,180억미만,130억미만,60억미만,1.81,14.8,1.06,190억미만,140억미만,60억미만,1.65,22.6,1.27,120억미만,70억미만,50억미만,3.03,,0.78,120억미만,70억미만,50억미만,3.56,,0.78,여
2001,F42***,11,배관 및 냉ㆍ난방 공사업,소기업,기타,경기도 성남시,20억미만,10억미만,10억미만,7.34,36.7,0.59,20억미만,10억미만,10억미만,9.36,27.2,0.54,20억미만,10억미만,10억미만,5.22,33.7,0.8,20억미만,10억미만,10억미만,69,,0.54,20억미만,10억미만,20억미만,20.1,,0.75,부
2005,C31***,11,선박 구성 부분품 제조업,중기업,외감법인,경남 고성군,510억미만,370억미만,140억미만,1.23,19.6,1.29,530억미만,400억미만,130억미만,1.32,20.8,1.2,520억미만,430억미만,90억미만,0.76,9.39,1.84,430억미만,310억미만,120억미만,0.78,,2.06,450억미만,300억미만,150억미만,1.16,,1.47,부
2005,G46***,11,기타 산업용 기계 및 장비 도매업,소기업,기타,서울 영등포구,20억미만,20억미만,10억미만,2.3,21.3,0.67,20억미만,20억미만,10억미만,1.94,24.5,0.85,20억미만,10억미만,10억미만,3.8,20.3,0.5,20억미만,10억미만,10억미만,3.43,,0.63,20억미만,20억미만,10억미만,3.14,16.5,0.62,부
1992,C10***,11,기타 과실ㆍ채소 가공 및 저장 처리업,소기업,기타,경상남도 함양군,80억미만,50억미만,40억미만,2.32,10.2,1.03,80억미만,40억미만,40억미만,2.58,11,0.96,80억미만,50억미만,40억미만,2.71,8.01,0.77,70억미만,40억미만,30억미만,2.94,8.67,0.74,60억미만,40억미만,30억미만,2.99,9.53,0.69,부
2005,C29***,11,주형 및 금형 제조업,소기업,기타,부산 사하구,40억미만,20억미만,30억미만,2.24,47.1,1.06,50억미만,30억미만,20억미만,2.01,44.8,1.18,40억미만,30억미만,20억미만,2.06,38.5,1.08,40억미만,30억미만,20억미만,1.63,,1.18,40억미만,20억미만,20억미만,1.53,41.7,1.2,부
2005,C26***,11,그 외 기타 전자부품 제조업,소기업,기타,경기도 군포시,40억미만,20억미만,30억미만,3.12,16.9,1.22,40억미만,20억미만,30억미만,2.73,17.2,1.37,50억미만,20억미만,30억미만,2.55,15.8,1.21,50억미만,20억미만,30억미만,2.12,,1.28,50억미만,20억미만,30억미만,2.19,,1.22,부
2003,C31***,11,선박 구성 부분품 제조업,중기업,외감법인,부산 강서구,750억미만,500억미만,250억미만,1.23,19.9,1.72,690억미만,430억미만,270억미만,1.17,21.9,1.76,610억미만,440억미만,180억미만,0.95,22.5,1.91,480억미만,310억미만,170억미만,1.17,,1.56,470억미만,310억미만,170억미만,1.11,,1.67,여
2004,G46***,11,가전제품 및 부품 도매업,소기업,기타,대구 북구,20억미만,20억미만,10억미만,0.85,11.4,1.89,20억미만,20억미만,10억미만,0.9,15.1,1.9,20억미만,20억미만,10억미만,1.13,10.2,1.47,20억미만,20억미만,10억미만,1.11,,1.56,20억미만,20억미만,10억미만,1.11,,1.38,부
2005,C29***,11,주형 및 금형 제조업,중기업,외감법인,경기도 화성시,240억미만,210억미만,40억미만,2.44,26.3,0.9,260억미만,230억미만,40억미만,2.31,29.8,1.03,230억미만,220억미만,20억미만,1.72,17.8,1.06,240억미만,180억미만,60억미만,1.98,,0.9,280억미만,210억미만,80억미만,3.29,,0.7,여
2005,G46***,11,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",소기업,기타,경기도 하남시,30억미만,30억미만,10억미만,2.05,15.8,0.75,30억미만,20억미만,10억미만,2.51,16,0.66,30억미만,20억미만,10억미만,3.07,3.89,0.56,40억미만,20억미만,20억미만,3.22,,0.65,40억미만,20억미만,20억미만,3.53,,0.6,부
2004,C29***,11,산업용 로봇 제조업,소기업,기타,경기도 수원시,90억미만,50억미만,50억미만,0.8,68.3,2.46,120억미만,90억미만,40억미만,0.54,61.4,2.74,120억미만,90억미만,40억미만,0.71,52,2.1,80억미만,40억미만,40억미만,1.66,,1.26,70억미만,40억미만,30억미만,1.98,,1.09,부
2004,G46***,11,운동 및 경기용품 도매업,소기업,기타,경기도 고양시,60억미만,40억미만,20억미만,1.61,21.8,1.35,50억미만,30억미만,20억미만,3.73,19.5,0.88,40억미만,20억미만,20억미만,6.14,15.3,0.49,30억미만,20억미만,20억미만,5.9,,0.52,30억미만,20억미만,20억미만,4.12,,0.62,부
2004,C26***,11,기타 무선 통신장비 제조업,소기업,기타,서울 금천구,120억미만,80억미만,40억미만,1.15,20.8,1.51,120억미만,90억미만,40억미만,1.71,10.6,1.03,140억미만,100억미만,40억미만,1.51,14.6,1.29,130억미만,90억미만,50억미만,1.81,,1.13,60억미만,20억미만,50억미만,,,0.54,부
2005,G46***,11,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업,소기업,기타,경기 광명시,40억미만,20억미만,20억미만,3.06,20.2,0.95,40억미만,20억미만,20억미만,4.42,20,0.77,40억미만,20억미만,20억미만,4.78,20.4,0.74,30억미만,20억미만,20억미만,5.72,,0.6,30억미만,20억미만,20억미만,8.67,,0.48,부
2001,N74***,11,사업시설 유지ㆍ관리 서비스업,중기업,기타,광주광역시 서구,230억미만,110억미만,130억미만,8.72,3.82,0.31,220억미만,110억미만,120억미만,8.65,4.97,0.3,210억미만,100억미만,110억미만,8.1,4.15,0.31,210억미만,110억미만,110억미만,7.02,,0.34,170억미만,70억미만,100억미만,10.8,,0.28,여
